@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.08196904886604747,1 5,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.047662612620163275,1 17,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.24419866796803433,1 3,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.1398675206458704,1 7,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.042349633051989174,1 4,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.02760115035159496,1 2,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.03313843964661856,1 2,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.09082387162406572,1 4,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.17261848942456565,1 12,2 -1}
{0 0.13132036115898715,1 3,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.05280285810174589,1 6,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.17216633805150852,1 9,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.12565432075326813,1 4,2 -1}
{0 0.0,1 0,2 +1}
{0 0.08450989735787734,1 2,2 -1}
{0 0.26364887508105,1 42,2 +1}
{0 0.24505157738333055,1 27,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.27398853892328073,1 71,2 +1}
{0 0.16255848139532944,1 9,2 -1}
{0 0.12890873930138536,1 24,2 +1}
{0 0.17053704814126694,1 28,2 -1}
{0 0.2591307395389587,1 23,2 +1}
{0 0.2570151605567569,1 26,2 -1}
{0 0.2862674795375733,1 71,2 +1}
{0 0.26971073717734245,1 45,2 -1}
{0 0.25146082250824975,1 38,2 +1}
{0 0.17849831660915727,1 12,2 -1}
{0 0.2579238037983036,1 20,2 +1}
{0 0.06825331758246792,1 11,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2610609133634027,1 80,2 +1}
{0 0.2442119101803833,1 51,2 -1}
{0 0.27212400309857027,1 34,2 +1}
{0 0.13857298113964242,1 27,2 -1}
{0 0.4560737814793552,1 14,2 +1}
{0 0.0,1 0,2 -1}
{0 0.20074106269860925,1 70,2 +1}
{0 0.21270696101636738,1 41,2 -1}
{0 0.23296249913806844,1 13,2 +1}
{0 0.2675470874051459,1 9,2 -1}
{0 0.2544177583191577,1 115,2 +1}
{0 0.18214132172373493,1 102,2 -1}
{0 0.2905649556005914,1 26,2 +1}
{0 0.22365261671111214,1 19,2 -1}
{0 0.21074993392022648,1 29,2 +1}
{0 0.1719961598262055,1 34,2 -1}
{0 0.3661253383758703,1 32,2 +1}
{0 0.21413180036875185,1 29,2 -1}
{0 0.06933752452815363,1 2,2 +1}
{0 0.04411976743693058,1 3,2 -1}
{0 0.26901772598907703,1 24,2 +1}
{0 0.23497989628446941,1 14,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.09083768323888668,1 3,2 +1}
{0 0.020031433952006544,1 4,2 -1}
{0 0.17620193273403853,1 40,2 +1}
{0 0.20455681238670428,1 18,2 -1}
{0 0.09729732630620916,1 1,2 +1}
{0 0.019303976162803986,1 1,2 -1}
{0 0.17571198121690243,1 39,2 +1}
{0 0.12232683804681449,1 37,2 -1}
{0 0.17918710044277342,1 19,2 +1}
{0 0.1987903932083559,1 14,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.14480712769588663,1 14,2 +1}
{0 0.07088907355079013,1 8,2 -1}
{0 0.03411945625947578,1 8,2 +1}
{0 0.06704081648924234,1 10,2 -1}
{0 0.015499685165842568,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.2512699419684951,1 6,2 +1}
{0 0.02686188669830512,1 1,2 -1}
{0 0.26247630985700043,1 44,2 +1}
{0 0.10642061037337931,1 2,2 -1}
{0 0.25322445051574977,1 13,2 +1}
{0 0.18111111516955625,1 19,2 -1}
{0 0.28980095173388337,1 35,2 +1}
{0 0.17701196392146779,1 30,2 -1}
{0 0.15241289730010193,1 4,2 +1}
{0 0.035921060405354976,1 2,2 -1}
{0 0.11561146751289911,1 8,2 +1}
{0 0.0723650384169447,1 6,2 -1}
{0 0.1412785046612537,1 47,2 -1}
{0 0.41771493363818885,1 32,2 +1}
{0 0.19841681771321915,1 41,2 -1}
{0 0.20142618714909527,1 13,2 +1}
{0 0.19983090938624637,1 18,2 -1}
{0 0.016708990035032838,1 5,2 -1}
{0 0.15331034998544327,1 23,2 +1}
{0 0.14015176495336704,1 24,2 -1}
{0 0.19613673449070534,1 5,2 +1}
{0 0.18274761487755084,1 7,2 -1}
{0 0.196505744781154,1 72,2 +1}
{0 0.1454385375975725,1 40,2 -1}
{0 0.21945093393781417,1 22,2 +1}
{0 0.14601424310963373,1 27,2 -1}
{0 0.06930520620576447,1 5,2 +1}
{0 0.020211302086361082,1 1,2 -1}
{0 0.0989565616659599,1 3,2 +1}
{0 0.08025723539051281,1 1,2 -1}
{0 0.2303932535288566,1 32,2 +1}
{0 0.1949106318941026,1 31,2 -1}
{0 0.06171954827142899,1 14,2 +1}
{0 0.09145212166814218,1 17,2 -1}
