@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.2728884114549076,1 2,2 -1}
{0 0.1047249607026204,1 5,2 -1}
{0 0.2447135473967525,1 14,2 -1}
{0 0.21370516047560612,1 9,2 -1}
{0 0.4380975056973136,1 17,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.04584950551818614,1 20,2 -1}
{0 0.01990057553776399,1 10,2 -1}
{0 0.05802724339090863,1 20,2 -1}
{0 0.28532780001529384,1 14,2 -1}
{0 0.12501803829901018,1 19,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.0,1 0,2 -1}
{0 0.15826576181802823,1 2,2 -1}
{0 0.13163888910450336,1 2,2 -1}
{0 0.07771230645462422,1 2,2 -1}
{0 0.05230657809659415,1 1,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.14155075055836397,1 7,2 -1}
{0 0.04103049699311091,1 2,2 -1}
{0 0.15101500760709954,1 5,2 -1}
{0 0.13504662798622766,1 7,2 -1}
{0 0.08690225355199713,1 6,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.09294642639840639,1 6,2 -1}
{0 0.0862283426258749,1 6,2 -1}
{0 0.07528422586681056,1 7,2 -1}
{0 0.07722801251304083,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.1141923861713137,1 23,2 -1}
{0 0.1067165163663869,1 5,2 -1}
{0 0.14412109147578706,1 21,2 -1}
{0 0.10328676779096671,1 30,2 -1}
{0 0.12082415634384884,1 14,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.06428785635743144,1 1,2 -1}
{0 0.0321324397700487,1 3,2 -1}
{0 0.013899618043744165,1 1,2 -1}
{0 0.03887506010605249,1 2,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.13468091767478696,1 5,2 -1}
{0 0.11778571185788637,1 4,2 -1}
{0 0.22304686095440657,1 5,2 -1}
{0 0.04622501635210243,1 1,2 -1}
{0 0.12909195051029107,1 5,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.18920556594426227,1 37,2 -1}
{0 0.2562131557986022,1 26,2 -1}
{0 0.27421100243287994,1 56,2 -1}
{0 0.23534024551573676,1 32,2 -1}
{0 0.09443511564086152,1 11,2 -1}
{0 0.02739983121755955,1 1,2 -1}
{0 0.07238359769480011,1 3,2 -1}
{0 0.10604746049596299,1 2,2 -1}
{0 0.23151963206929307,1 1,2 -1}
{0 0.12986170925669938,1 3,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.06883415308011578,1 7,2 -1}
{0 0.06393842143172256,1 7,2 -1}
{0 0.021494196007305365,1 1,2 -1}
{0 0.10385514271589759,1 6,2 -1}
{0 0.0,1 0,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.13623858468225783,1 7,2 -1}
{0 0.12222605807029162,1 10,2 -1}
{0 0.15659019199862315,1 3,2 -1}
{0 0.13664860892173963,1 6,2 -1}
{0 0.08014095659875001,1 8,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.15271028567834133,1 34,2 -1}
{0 0.3805602953348258,1 31,2 -1}
{0 0.20269542567512244,1 26,2 -1}
{0 0.33449037034937784,1 35,2 -1}
{0 0.19233352669921663,1 39,2 -1}
{0 0.0,1 0,2 +1}
{0 0.20005233920652957,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.10072787050317251,1 1,2 -1}
{0 0.06462528755253208,1 1,2 -1}
{0 0.10542157479178445,1 2,2 -1}
{0 0.26364887508105,1 42,2 +1}
{0 0.19710001916540235,1 29,2 -1}
{0 0.11904845223306197,1 4,2 -1}
{0 0.21998594769866123,1 30,2 -1}
{0 0.17922091214387184,1 19,2 -1}
{0 0.25531513872168227,1 9,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.04047223292581765,1 1,2 -1}
{0 0.01520923541825377,1 1,2 -1}
{0 0.043098591447484576,1 1,2 -1}
{0 0.023496372048635947,1 1,2 -1}
{0 0.27398853892328073,1 71,2 +1}
{0 0.22188245776444707,1 25,2 -1}
{0 0.13890931845949916,1 32,2 -1}
{0 0.23054362962455133,1 56,2 -1}
{0 0.3161233905022853,1 24,2 -1}
{0 0.23293549904251143,1 41,2 -1}
{0 0.12890873930138536,1 24,2 +1}
{0 0.11816955547691546,1 31,2 -1}
{0 0.11792162813868476,1 24,2 -1}
{0 0.11298060086830959,1 32,2 -1}
{0 0.1477133020184445,1 3,2 -1}
{0 0.1286563620833693,1 27,2 -1}
{0 0.2591307395389587,1 23,2 +1}
{0 0.2060669651674074,1 24,2 -1}
{0 0.16695959432262555,1 12,2 -1}
{0 0.26502081052021165,1 23,2 -1}
{0 0.2505974134216027,1 30,2 -1}
{0 0.12601927738311552,1 2,2 -1}
{0 0.2862674795375733,1 71,2 +1}
{0 0.11073542368078797,1 47,2 -1}
{0 0.162114157523153,1 36,2 -1}
{0 0.15264002355853876,1 8,2 -1}
