@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.19254012140051094,1 34,2 -1}
{0 0.2099939747507526,1 45,2 -1}
{0 0.09729732630620916,1 1,2 +1}
{0 0.1031394962169568,1 1,2 -1}
{0 0.040153432328619725,1 1,2 -1}
{0 0.0852111058524069,1 1,2 -1}
{0 0.17571198121690243,1 39,2 +1}
{0 0.052118006616346496,1 26,2 -1}
{0 0.18428979305764503,1 20,2 -1}
{0 0.1753161419113014,1 39,2 -1}
{0 0.17918710044277342,1 19,2 +1}
{0 0.10133439151934023,1 9,2 -1}
{0 0.13126259168604218,1 9,2 -1}
{0 0.12059368506284703,1 8,2 -1}
{0 0.0,1 0,2 +1}
{0 8.385474463977203E-4,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 -1}
{0 0.14480712769588663,1 14,2 +1}
{0 0.10194175189015132,1 13,2 -1}
{0 0.14141243598377948,1 17,2 -1}
{0 0.14217168127456295,1 7,2 -1}
{0 0.03411945625947578,1 8,2 +1}
{0 0.05939338118068914,1 11,2 -1}
{0 0.04595721763912813,1 7,2 -1}
{0 0.07485896309130705,1 14,2 -1}
{0 0.015499685165842568,1 1,2 +1}
{0 0.022142298979995822,1 4,2 -1}
{0 0.024708589901564305,1 3,2 -1}
{0 0.014413086104549253,1 4,2 -1}
{0 0.2512699419684951,1 6,2 +1}
{0 0.12297371681294599,1 19,2 -1}
{0 0.15374253302011934,1 44,2 -1}
{0 0.20093738269582256,1 31,2 -1}
{0 0.26247630985700043,1 44,2 +1}
{0 0.21770909015178122,1 31,2 -1}
{0 0.13345734589218858,1 7,2 -1}
{0 0.05484983170512901,1 4,2 -1}
{0 0.25322445051574977,1 13,2 +1}
{0 0.20760532456153682,1 22,2 -1}
{0 0.16944003745862363,1 13,2 -1}
{0 0.0,1 0,2 -1}
{0 0.28980095173388337,1 35,2 +1}
{0 0.2039016432600962,1 21,2 -1}
{0 0.2307357551150167,1 37,2 -1}
{0 0.20218515292439215,1 26,2 -1}
{0 0.15241289730010193,1 4,2 +1}
{0 0.16124642502788072,1 4,2 -1}
{0 0.2005018828468342,1 2,2 -1}
{0 0.10267555785353873,1 5,2 -1}
{0 0.11561146751289911,1 8,2 +1}
{0 0.12361256199537729,1 14,2 -1}
{0 0.21746879976591182,1 9,2 -1}
{0 0.08567159670007293,1 12,2 -1}
{0 0.14085510745514193,1 20,2 -1}
{0 0.3294247753446717,1 25,2 -1}
{0 0.1904988464686866,1 36,2 -1}
{0 0.41771493363818885,1 32,2 +1}
{0 0.17543710281634176,1 31,2 -1}
{0 0.28332883608591297,1 21,2 -1}
{0 0.2352472586625399,1 36,2 -1}
{0 0.20142618714909527,1 13,2 +1}
{0 0.014734589232268476,1 1,2 -1}
{0 0.14419480520760583,1 21,2 -1}
{0 0.16609021540401203,1 20,2 -1}
{0 0.03289758474798845,1 1,2 -1}
{0 0.010965428927493774,1 4,2 -1}
{0 0.013386089242496532,1 1,2 -1}
{0 0.15331034998544327,1 23,2 +1}
{0 0.13664124139828077,1 20,2 -1}
{0 0.14536310757158716,1 26,2 -1}
{0 0.15766487983028607,1 12,2 -1}
{0 0.19613673449070534,1 5,2 +1}
{0 0.2090605025017727,1 6,2 -1}
{0 0.23999769729358772,1 5,2 -1}
{0 0.043033148291193514,1 1,2 -1}
{0 0.196505744781154,1 72,2 +1}
{0 0.17943293606508995,1 69,2 -1}
{0 0.2111396802394164,1 67,2 -1}
{0 0.14187548114775428,1 53,2 -1}
{0 0.21945093393781417,1 22,2 +1}
{0 0.21246663037984526,1 16,2 -1}
{0 0.1553627118534459,1 21,2 -1}
{0 0.20657110893415984,1 16,2 -1}
{0 0.06930520620576447,1 5,2 +1}
{0 0.0,1 0,2 -1}
{0 0.1044782584501727,1 2,2 -1}
{0 0.03769600563797468,1 7,2 -1}
{0 0.0989565616659599,1 3,2 +1}
{0 0.132756746165005,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.11116884289009027,1 9,2 -1}
{0 0.2303932535288566,1 32,2 +1}
{0 0.20020174570875793,1 46,2 -1}
{0 0.17136198250674312,1 31,2 -1}
{0 0.14067664155711132,1 23,2 -1}
{0 0.06171954827142899,1 14,2 +1}
{0 0.06253512920824755,1 12,2 -1}
{0 0.040160323102797726,1 10,2 -1}
{0 0.07638960004799679,1 20,2 -1}
{0 0.19902283334918383,1 9,2 +1}
{0 0.17995885567184092,1 14,2 -1}
{0 0.14568898983339426,1 8,2 -1}
{0 0.17704564824696278,1 8,2 -1}
{0 0.21416136922934387,1 51,2 +1}
{0 0.08658450381876091,1 2,2 -1}
{0 0.2204596942421918,1 49,2 -1}
{0 0.06008744992145347,1 6,2 -1}
{0 0.10072787050317251,1 1,2 +1}
{0 0.03280512136830688,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0070625977735147075,1 1,2 -1}
{0 0.0,1 0,2 +1}
{0 0.03680895008004748,1 2,2 -1}
{0 0.08102546544402055,1 4,2 -1}
{0 0.05549004813571946,1 3,2 -1}
{0 0.14402095496370335,1 43,2 +1}
{0 0.1277427025510672,1 36,2 -1}
{0 0.09466360881014496,1 7,2 -1}
{0 0.11383738410227405,1 26,2 -1}
{0 0.12811395556557303,1 15,2 +1}
{0 0.06288281455225325,1 5,2 -1}
{0 0.15138470561387526,1 7,2 -1}
{0 0.1278932063228743,1 12,2 -1}
{0 0.216661812307366,1 4,2 +1}
{0 0.10696923096552625,1 7,2 -1}
{0 0.1791793342491595,1 5,2 -1}
{0 0.14831553043717854,1 9,2 -1}
{0 0.12803141422757522,1 4,2 +1}
{0 0.08798405292178485,1 6,2 -1}
{0 0.028553874305930076,1 6,2 -1}
{0 0.07903135950447955,1 5,2 -1}
{0 0.015767396124594983,1 3,2 +1}
{0 0.014833945481580393,1 4,2 -1}
{0 0.04192445497980507,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2413443787484609,1 15,2 +1}
{0 0.32180834284885856,1 26,2 -1}
{0 0.22558758577491317,1 12,2 -1}
{0 0.2838027489853106,1 30,2 -1}
{0 0.13363062095621217,1 2,2 +1}
{0 0.17882527648784144,1 3,2 -1}
{0 0.14362354818798573,1 3,2 -1}
{0 0.2362935067436508,1 3,2 -1}
{0 0.2507242875848462,1 22,2 +1}
{0 0.07118684968143742,1 2,2 -1}
{0 0.18569966468197144,1 28,2 -1}
{0 0.22490167088806653,1 25,2 -1}
{0 0.23108538429920722,1 32,2 +1}
{0 0.2161464317519482,1 40,2 -1}
{0 0.12337696032544145,1 25,2 -1}
{0 0.0967935654791001,1 25,2 -1}
{0 0.11972912094634425,1 16,2 +1}
{0 0.12208716642128513,1 27,2 -1}
{0 0.1415473572539855,1 27,2 -1}
{0 0.12034368942482454,1 34,2 -1}
