@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.20522642400076974,1 10,2 -1}
{0 0.13236260804236724,1 9,2 -1}
{0 0.1318903128705713,1 4,2 -1}
{0 0.18859085906543102,1 9,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.029109957008505914,1 14,2 -1}
{0 0.39246994901571536,1 13,2 -1}
{0 0.13770421343494457,1 22,2 -1}
{0 0.08308471242772683,1 17,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.23808833822242256,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2672612419124244,1 2,2 -1}
{0 0.0890870806374748,1 1,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.1596884885541814,1 7,2 -1}
{0 0.09729732630620917,1 6,2 -1}
{0 0.0445435403187374,1 1,2 -1}
{0 0.1169594316606533,1 4,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.07528422586681056,1 7,2 -1}
{0 0.07722801251304083,1 5,2 -1}
{0 0.09543663270946301,1 5,2 -1}
{0 0.07912196315091476,1 4,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.14635979594555984,1 35,2 -1}
{0 0.09017286513164724,1 19,2 -1}
{0 0.07222800459525414,1 14,2 -1}
{0 0.16415372197319208,1 31,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.03541276742376091,1 3,2 -1}
{0 0.03651904536531724,1 2,2 -1}
{0 0.03483665071458088,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.03582055718769168,1 5,2 -1}
{0 0.16225378177830202,1 5,2 -1}
{0 0.09842572614223949,1 3,2 -1}
{0 0.08219949365267865,1 1,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.07465347891750063,1 4,2 -1}
{0 0.14867727445496715,1 16,2 -1}
{0 0.36552646892133134,1 49,2 -1}
{0 0.08045968958345913,1 7,2 -1}
{0 0.0,1 0,2 -1}
{0 0.17407078776781348,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.017708131581681406,1 2,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.02665220969091317,1 5,2 -1}
{0 0.04324293158359817,1 6,2 -1}
{0 0.06241624531779739,1 4,2 -1}
{0 0.017591753042793378,1 2,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.05092752917065052,1 3,2 -1}
{0 0.2036532699906392,1 2,2 -1}
{0 0.18022664350058898,1 6,2 -1}
{0 0.12029749976152683,1 8,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.2303995073138501,1 28,2 -1}
{0 0.24827094173777284,1 48,2 -1}
{0 0.2158737649685414,1 62,2 -1}
{0 0.1570848347371707,1 42,2 -1}
{0 0.0,1 0,2 +1}
{0 0.054603262703094776,1 1,2 -1}
{0 0.12329924047901795,1 1,2 -1}
{0 0.12179622664559125,1 1,2 -1}
