@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.2532511237737225,1 12,2 -1}
{0 0.25271392356219613,1 9,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.007250693078538385,1 2,2 -1}
{0 0.02932282447932382,1 21,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.21099892877738857,1 2,2 -1}
{0 0.2672612419124244,1 2,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.057097691493779586,1 5,2 -1}
{0 0.0222717701593687,1 1,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.06234419458712203,1 7,2 -1}
{0 0.04111856241053917,1 3,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.0637543205039288,1 15,2 -1}
{0 0.18906431737987328,1 22,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.0,1 0,2 -1}
{0 0.07999796252681905,1 3,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.13564622509750943,1 5,2 -1}
{0 0.0,1 0,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.061899394716014196,1 2,2 -1}
{0 0.1274314162178755,1 59,2 -1}
{0 0.0,1 0,2 -1}
{0 0.17040741361884895,1 4,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.09812778536500866,1 6,2 -1}
{0 0.025912609280910725,1 6,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.13892898636669082,1 7,2 -1}
{0 0.17028313724313046,1 11,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.08792211596301215,1 3,2 -1}
{0 0.18778862185568168,1 21,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.14764137174686537,1 2,2 -1}
{0 0.26364887508105,1 42,2 +1}
{0 0.26258672125666205,1 24,2 -1}
{0 0.22160122696695375,1 16,2 -1}
{0 0.0,1 0,2 +1}
{0 0.08136063551439104,1 1,2 -1}
{0 0.017658480955811014,1 1,2 -1}
{0 0.27398853892328073,1 71,2 +1}
{0 0.15553954236131862,1 32,2 -1}
{0 0.27539609912486634,1 45,2 -1}
{0 0.12890873930138536,1 24,2 +1}
{0 0.18999724504469856,1 29,2 -1}
{0 0.19955333053318516,1 24,2 -1}
{0 0.2591307395389587,1 23,2 +1}
{0 0.19274567176046573,1 24,2 -1}
{0 0.17474566711276118,1 15,2 -1}
{0 0.2862674795375733,1 71,2 +1}
{0 0.1880491737550874,1 39,2 -1}
{0 0.11347873009808108,1 21,2 -1}
{0 0.25146082250824975,1 38,2 +1}
{0 0.21084266814439173,1 33,2 -1}
{0 0.2418739916130099,1 10,2 -1}
{0 0.2579238037983036,1 20,2 +1}
{0 0.2802369975700509,1 17,2 -1}
{0 0.04704120574625453,1 6,2 -1}
{0 0.0,1 0,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2610609133634027,1 80,2 +1}
{0 0.13161169973202586,1 26,2 -1}
{0 0.19563969249515284,1 43,2 -1}
{0 0.27212400309857027,1 34,2 +1}
{0 0.1418829950030551,1 35,2 -1}
{0 0.13527200409759096,1 36,2 -1}
{0 0.4560737814793552,1 14,2 +1}
{0 0.04929626604834664,1 10,2 -1}
{0 0.09620459546664452,1 16,2 -1}
{0 0.20074106269860925,1 70,2 +1}
{0 0.19826173734155006,1 34,2 -1}
{0 0.18870269978058526,1 44,2 -1}
{0 0.23296249913806844,1 13,2 +1}
{0 0.17000212503984455,1 4,2 -1}
{0 0.16399365244447256,1 13,2 -1}
{0 0.2544177583191577,1 115,2 +1}
{0 0.22739141511649186,1 88,2 -1}
{0 0.18358905937748551,1 27,2 -1}
{0 0.2905649556005914,1 26,2 +1}
{0 0.061149948808778574,1 4,2 -1}
{0 0.16417300920911743,1 12,2 -1}
{0 0.21074993392022648,1 29,2 +1}
{0 0.13413492873727237,1 17,2 -1}
{0 0.15469054120135106,1 23,2 -1}
{0 0.3661253383758703,1 32,2 +1}
{0 0.11954906155359263,1 4,2 -1}
{0 0.21411995787174337,1 20,2 -1}
{0 0.06933752452815363,1 2,2 +1}
{0 0.048030099918017426,1 2,2 -1}
{0 0.05812381937190964,1 1,2 -1}
