@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.2067117818331932,1 11,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.07951702443666585,1 17,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.29006264640868434,1 3,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.11951695317271938,1 5,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.0969551817473485,1 5,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.05604893478281769,1 5,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.08139382036355736,1 2,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.1670631180793406,1 5,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.2338596529954397,1 56,2 -1}
{0 0.0,1 0,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.0,1 0,2 -1}
{0 0.250220163067745,1 11,2 +1}
{0 0.12350268563569725,1 8,2 -1}
{0 0.3844537689435693,1 66,2 +1}
{0 0.30331326029066213,1 57,2 -1}
{0 0.0,1 0,2 +1}
{0 0.11119694434995332,1 1,2 -1}
{0 0.26364887508105,1 42,2 +1}
{0 0.21998594769866123,1 30,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0019639203313384004,1 1,2 -1}
{0 0.27398853892328073,1 71,2 +1}
{0 0.06420705401286969,1 8,2 -1}
{0 0.12890873930138536,1 24,2 +1}
{0 0.23479202193887777,1 29,2 -1}
{0 0.2591307395389587,1 23,2 +1}
{0 0.1822768062189413,1 15,2 -1}
{0 0.2862674795375733,1 71,2 +1}
{0 0.21890246148441533,1 59,2 -1}
{0 0.25146082250824975,1 38,2 +1}
{0 0.144602587345767,1 34,2 -1}
{0 0.2579238037983036,1 20,2 +1}
{0 0.12876867361137476,1 18,2 -1}
{0 0.0,1 0,2 -1}
{0 0.2610609133634027,1 80,2 +1}
{0 0.21316665642440644,1 33,2 -1}
{0 0.27212400309857027,1 34,2 +1}
{0 0.13527200409759096,1 36,2 -1}
{0 0.4560737814793552,1 14,2 +1}
{0 0.05297388973614383,1 13,2 -1}
{0 0.20074106269860925,1 70,2 +1}
{0 0.21953870394010647,1 49,2 -1}
{0 0.23296249913806844,1 13,2 +1}
{0 0.12030415246347388,1 2,2 -1}
{0 0.2544177583191577,1 115,2 +1}
{0 0.219650252318336,1 56,2 -1}
{0 0.2905649556005914,1 26,2 +1}
{0 0.16417300920911743,1 12,2 -1}
{0 0.21074993392022648,1 29,2 +1}
{0 0.26149660257968915,1 20,2 -1}
{0 0.3661253383758703,1 32,2 +1}
{0 0.22061073067424558,1 20,2 -1}
{0 0.06933752452815363,1 2,2 +1}
{0 0.0,1 0,2 -1}
{0 0.26901772598907703,1 24,2 +1}
{0 0.26901772598907703,1 24,2 -1}
{0 0.0,1 0,2 +1}
{0 0.014137379422773365,1 2,2 -1}
{0 0.09083768323888668,1 3,2 +1}
{0 0.1603017939509765,1 5,2 -1}
{0 0.17620193273403853,1 40,2 +1}
{0 0.19923821214797202,1 18,2 -1}
{0 0.09729732630620916,1 1,2 +1}
{0 0.0544974439808666,1 1,2 -1}
{0 0.17571198121690243,1 39,2 +1}
{0 0.2079408324228093,1 44,2 -1}
{0 0.17918710044277342,1 19,2 +1}
{0 0.16871125266266354,1 9,2 -1}
{0 0.0,1 0,2 +1}
{0 0.0,1 0,2 -1}
{0 0.14480712769588663,1 14,2 +1}
{0 0.08196618055885155,1 3,2 -1}
{0 0.03411945625947578,1 8,2 +1}
{0 0.05433414962590124,1 14,2 -1}
{0 0.015499685165842568,1 1,2 +1}
{0 0.023448415270421966,1 2,2 -1}
{0 0.2512699419684951,1 6,2 +1}
{0 0.08462461209406393,1 10,2 -1}
{0 0.26247630985700043,1 44,2 +1}
{0 0.07313310894017203,1 1,2 -1}
{0 0.25322445051574977,1 13,2 +1}
{0 0.08416418968427361,1 5,2 -1}
{0 0.28980095173388337,1 35,2 +1}
{0 0.07876737073602008,1 3,2 -1}
{0 0.15241289730010193,1 4,2 +1}
{0 0.10267555785353873,1 5,2 -1}
{0 0.11561146751289911,1 8,2 +1}
{0 0.13087763789471285,1 12,2 -1}
{0 0.18204133597242375,1 56,2 -1}
{0 0.41771493363818885,1 32,2 +1}
{0 0.2516926444073852,1 41,2 -1}
{0 0.20142618714909527,1 13,2 +1}
{0 0.11105317827623162,1 15,2 -1}
{0 0.02404930351219409,1 2,2 -1}
{0 0.15331034998544327,1 23,2 +1}
{0 0.11497101299467119,1 12,2 -1}
{0 0.19613673449070534,1 5,2 +1}
{0 0.16354663015061796,1 5,2 -1}
{0 0.196505744781154,1 72,2 +1}
{0 0.14561283781466675,1 54,2 -1}
{0 0.21945093393781417,1 22,2 +1}
{0 0.16330415489885755,1 5,2 -1}
{0 0.06930520620576447,1 5,2 +1}
{0 0.04210907778727016,1 6,2 -1}
{0 0.0989565616659599,1 3,2 +1}
{0 0.1061269991971512,1 7,2 -1}
{0 0.2303932535288566,1 32,2 +1}
{0 0.26231684729042076,1 41,2 -1}
{0 0.06171954827142899,1 14,2 +1}
{0 0.06282386888605576,1 11,2 -1}
{0 0.19902283334918383,1 9,2 +1}
{0 0.13892868002868475,1 13,2 -1}
{0 0.21416136922934387,1 51,2 +1}
{0 0.14510358909165383,1 41,2 -1}
{0 0.10072787050317251,1 1,2 +1}
{0 0.08778676157921725,1 1,2 -1}
{0 0.0,1 0,2 +1}
{0 0.013899618043744165,1 1,2 -1}
{0 0.14402095496370335,1 43,2 +1}
{0 0.0642238076142032,1 8,2 -1}
{0 0.12811395556557303,1 15,2 +1}
{0 0.15177978550363733,1 19,2 -1}
{0 0.216661812307366,1 4,2 +1}
{0 0.16572650699967775,1 7,2 -1}
{0 0.12803141422757522,1 4,2 +1}
{0 0.06873128972884979,1 6,2 -1}
{0 0.015767396124594983,1 3,2 +1}
{0 0.009282910512371206,1 2,2 -1}
{0 0.2413443787484609,1 15,2 +1}
{0 0.2785423563448223,1 17,2 -1}
{0 0.13363062095621217,1 2,2 +1}
{0 0.2719337310081415,1 3,2 -1}
{0 0.2507242875848462,1 22,2 +1}
{0 0.20660689416928837,1 19,2 -1}
{0 0.23108538429920722,1 32,2 +1}
{0 0.14066901789339314,1 23,2 -1}
{0 0.11972912094634425,1 16,2 +1}
{0 0.19989061450928228,1 35,2 -1}
