@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.24660968695685898,1 11,2 +1}
{0 0.17423221784185797,1 12,2 -1}
{0 0.12431163526554512,1 8,2 -1}
{0 0.13619158634273987,1 8,2 -1}
{0 0.308141654797851,1 9,2 -1}
{0 0.34582887198960355,1 11,2 -1}
{0 0.1319327186053403,1 7,2 -1}
{0 0.17483186247347152,1 10,2 -1}
{0 0.25271392356219613,1 9,2 -1}
{0 0.2532511237737225,1 12,2 -1}
{0 0.10113917425784187,1 3,2 -1}
{0 0.19881750555664923,1 32,2 +1}
{0 0.07951702443666585,1 17,2 -1}
{0 0.04929830212102915,1 19,2 -1}
{0 0.06593724864392604,1 28,2 -1}
{0 0.02829144129170071,1 10,2 -1}
{0 0.09341890583903055,1 27,2 -1}
{0 0.024229626903190915,1 5,2 -1}
{0 0.10575804769036717,1 26,2 -1}
{0 0.05510645874987014,1 21,2 -1}
{0 0.04730028833216571,1 12,2 -1}
{0 0.015502633895167909,1 3,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.20723026862793426,1 2,2 -1}
{0 0.21099892877738857,1 2,2 -1}
{0 0.2672612419124244,1 2,2 -1}
{0 0.0890870806374748,1 1,2 -1}
{0 0.0,1 0,2 -1}
{0 0.059875418675457356,1 2,2 -1}
{0 0.14123786620234527,1 2,2 -1}
{0 0.30582713924676364,1 3,2 -1}
{0 0.16963322422426677,1 2,2 -1}
{0 0.13349047343893788,1 2,2 -1}
{0 0.15101500760709954,1 5,2 +1}
{0 0.1690868935844309,1 7,2 -1}
{0 0.12385667935139844,1 7,2 -1}
{0 0.12228560650801354,1 6,2 -1}
{0 0.13718999799550488,1 6,2 -1}
{0 0.13296438661547222,1 7,2 -1}
{0 0.1579400189030963,1 8,2 -1}
{0 0.04622501635210243,1 1,2 -1}
{0 0.12055694551787513,1 6,2 -1}
{0 0.12121260401644078,1 7,2 -1}
{0 0.11415825323692887,1 5,2 -1}
{0 0.0644227914208309,1 3,2 +1}
{0 0.03542168017694417,1 5,2 -1}
{0 0.05648285452023344,1 5,2 -1}
{0 0.08174610495345555,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.049132788838094354,1 3,2 -1}
{0 0.018307834546036322,1 1,2 -1}
{0 0.131307375736195,1 5,2 -1}
{0 0.09294642639840639,1 6,2 -1}
{0 0.13336709775239802,1 5,2 -1}
{0 0.0862283426258749,1 6,2 -1}
{0 0.16684279230457194,1 24,2 +1}
{0 0.17767812561537485,1 22,2 -1}
{0 0.14635979594555984,1 35,2 -1}
{0 0.07222800459525414,1 14,2 -1}
{0 0.09017286513164724,1 19,2 -1}
{0 0.16415372197319208,1 31,2 -1}
{0 0.13399480899100544,1 16,2 -1}
{0 0.09055581077062302,1 16,2 -1}
{0 0.1506061198360641,1 21,2 -1}
{0 0.1141923861713137,1 23,2 -1}
{0 0.11216871761692093,1 22,2 -1}
{0 0.06154574548966636,1 1,2 +1}
{0 0.06658805776286335,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.00950790415737185,1 3,2 -1}
{0 0.030639906891138484,1 2,2 -1}
{0 0.02474495460570754,1 2,2 -1}
{0 0.004216745052000466,1 1,2 -1}
{0 0.02258160452263065,1 2,2 -1}
{0 0.0321324397700487,1 3,2 -1}
{0 0.03887506010605249,1 2,2 -1}
{0 0.06620943710793668,1 2,2 -1}
{0 0.24954235660745017,1 5,2 +1}
{0 0.13584963741239028,1 5,2 -1}
{0 0.2679926624428062,1 5,2 -1}
{0 0.0445435403187374,1 1,2 -1}
{0 0.17853755511932878,1 5,2 -1}
{0 0.1781741612749496,1 2,2 -1}
{0 0.046448867619441184,1 2,2 -1}
{0 0.035311144347064595,1 4,2 -1}
{0 0.11778571185788637,1 4,2 -1}
{0 0.10592839965175896,1 5,2 -1}
{0 0.22304686095440657,1 5,2 -1}
{0 0.27168755054560384,1 52,2 +1}
{0 0.21219138412441121,1 40,2 -1}
{0 0.3829175189603476,1 21,2 -1}
{0 0.21396413365830505,1 42,2 -1}
{0 0.35923150527149467,1 56,2 -1}
{0 0.1863472675465547,1 30,2 -1}
{0 0.27168755054560384,1 52,2 -1}
{0 0.07465347891750063,1 4,2 -1}
{0 0.14867727445496715,1 16,2 -1}
{0 0.19291461028836931,1 21,2 -1}
{0 0.08045968958345913,1 7,2 -1}
{0 0.09160366391506194,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.17040741361884895,1 4,2 -1}
{0 0.1803412580279438,1 3,2 -1}
{0 0.11631052629980886,1 2,2 -1}
{0 0.17952724507049228,1 3,2 -1}
{0 0.04870810241434831,1 1,2 -1}
{0 0.0837580837560865,1 3,2 -1}
{0 0.23151963206929307,1 1,2 -1}
{0 0.07238359769480011,1 3,2 -1}
{0 0.09812778536500866,1 6,2 +1}
{0 0.022908440394350197,1 1,2 -1}
{0 0.04393747751637468,1 1,2 -1}
{0 0.08132817734360397,1 5,2 -1}
{0 0.08010679949628112,1 4,2 -1}
{0 0.03937383277891786,1 4,2 -1}
{0 0.0,1 0,2 -1}
{0 0.03665833838315534,1 4,2 -1}
{0 0.101853957639866,1 6,2 -1}
