@relation SiftFeature
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 'Class' {'+1','-1'}
@data
{0 0.11158850203882445,1 21,2 -1}
{0 0.030197500517466412,1 4,2 -1}
{0 0.19579917915288644,1 21,2 -1}
{0 0.02932282447932382,1 21,2 -1}
{0 0.025691570326427417,1 10,2 -1}
{0 0.13636781618424237,1 23,2 -1}
{0 0.1612605896628967,1 11,2 -1}
{0 0.05362614497912205,1 5,2 -1}
{0 0.10876607466300603,1 26,2 -1}
{0 0.09038260672156108,1 23,2 -1}
{0 0.08042872837441922,1 15,2 -1}
{0 0.09587888193268532,1 15,2 -1}
{0 0.032504712528025684,1 17,2 -1}
{0 0.04280622711005659,1 17,2 -1}
{0 0.018086406211029225,1 3,2 -1}
{0 0.06735729659084558,1 5,2 -1}
{0 0.015502633895167909,1 4,2 -1}
{0 0.08308471242772683,1 17,2 -1}
{0 0.06622689398829709,1 21,2 -1}
{0 0.39246994901571536,1 13,2 -1}
{0 0.10425803481817053,1 2,2 -1}
{0 0.0920943917955331,1 2,2 -1}
{0 0.2644467635240269,1 3,2 +1}
{0 0.08333333333333333,1 1,2 -1}
{0 0.1764669751813298,1 2,2 -1}
{0 0.08690225355199713,1 2,2 -1}
{0 0.19576526692577187,1 3,2 -1}
{0 0.08206099398622183,1 1,2 -1}
{0 0.21426223032846584,1 3,2 -1}
{0 0.10050378152592121,1 1,2 -1}
{0 0.11300156437623533,1 2,2 -1}
{0 0.05230657809659415,1 1,2 -1}
{0 0.13911801469152363,1 3,2 -1}
{0 0.15826576181802823,1 2,2 -1}
{0 0.07771230645462422,1 2,2 -1}
{0 0.13163888910450336,1 2,2 -1}
{0 0.0,1 0,2 -1}
{0 0.21538744758532147,1 2,2 -1}
{0 0.16549998831341428,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.220214293084852,1 3,2 -1}
{0 0.22666975179581503,1 2,2 -1}
{0 0.3241537063856952,1 2,2 -1}
{0 0.31745345468853337,1 3,2 -1}
{0 0.21716506880021316,1 3,2 -1}
{0 0.20144354136048817,1 2,2 -1}
{0 0.19857062337913461,1 3,2 -1}
{0 0.16012410479683553,1 3,2 -1}
{0 0.2951721536400327,1 2,2 -1}
{0 0.11495920481185967,1 3,2 -1}
{0 0.17022170495076938,1 2,2 -1}
{0 0.1915434254166316,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.15869449698518778,1 3,2 -1}
{0 0.14044414010296896,1 2,2 -1}
{0 0.2975390131470505,1 3,2 -1}
{0 0.0435813633640409,1 1,2 -1}
{0 0.23808833822242256,1 3,2 -1}
{0 0.0,1 0,2 -1}
{0 0.26733584379577896,1 2,2 -1}
{0 0.1235909492681485,1 3,2 -1}
{0 0.2038610646415811,1 2,2 -1}
{0 0.18695237684391972,1 2,2 -1}
{0 0.1580919110979468,1 3,2 -1}
{0 0.16708490237236184,1 1,2 -1}
{0 0.23878346647045967,1 3,2 -1}
{0 0.03566881875032109,1 2,2 -1}
{0 0.25310879886733306,1 2,2 -1}
